depto,deptodesc.x,munic,municdesc.x,poblacion_total,poblacion_hombres,poblacion_mujeres,adolescents_out_of_school_count,adolescents_population_13_15,adolescents_out_of_school_rate,adult_literate_count,adult_population_15_plus,adult_literacy_rate,youth_literate_count,youth_population_15_24.x,youth_literacy_rate,primary_completion_count,primary_school_age_population,primary_completion_rate,lower_secondary_completion_count,lower_secondary_age_population,lower_secondary_completion_rate,primary_enrolled_count,primary_age_population,net_primary_enrollment_rate,secondary_enrolled_count,secondary_age_population,net_secondary_enrollment_rate,child_employment_count,child_population_7_14,child_employment_rate,youth_labor_force_count,youth_lfpr_rate,labor_force_count,population_15_plus,lfpr_rate,neet_count,neet_population_15_24,neet_rate,unemployment_count,labor_force_population_15_plus,unemployment_rate,youth_unemployment_count,youth_labor_force_population,youth_unemployment_rate,vulnerable_employment_count,employed_population,vulnerable_employment_rate,total_households,households_with_emigrants,households_with_1_emigrant,households_with_2plus_emigrants,total_emigrants_household,households_receiving_remittances,pct_households_with_emigrants,pct_households_receiving_remittances,depto_name,dept_geo_code,munic_name
05,05,03,0503,108097,50032,58065,222,4470,4.966442953020135,79720,88022,90.56826702415306,15102,15916,94.88564966071877,7221,8765,82.3844837421563,2692,4470,60.22371364653244,8147,8765,92.94922989161438,4051,4470,90.62639821029083,42,11724,0.35823950870010235,6281,39.46343302337271,53049,88022,60.267887573561154,1690,15916,10.618245790399598,1836,53049,3.4609511960640162,510,6281,8.119726158255055,9735,51255,18.993268949370794,35025,2387,1716,671,3354,5078,6.81513204853676,14.498215560314062,La Libertad,SVLI,La Libertad Este
05,05,04,0504,88356,41423,46933,389,4188,9.28844317096466,61276,69318,88.39839579907095,13463,13941,96.57126461516391,6901,8222,83.93334954998784,2512,4188,59.98089780324737,7721,8222,93.90659207005595,3751,4188,89.56542502387775,144,10957,1.3142283471753218,6128,43.9566745570619,38875,69318,56.082114313742466,2554,13941,18.320063123161898,1978,38875,5.088102893890675,618,6128,10.08485639686684,10515,37041,28.387462541508057,29290,2495,1719,776,3634,7644,8.518265619665415,26.09764424718334,La Libertad,SVLI,La Libertad Norte
05,05,05,0505,182512,85188,97324,547,8392,6.518112488083889,130447,143174,91.110816209647,28996,29942,96.84055841293167,14222,17038,83.47223852564855,5043,8392,60.09294566253575,16141,17038,94.73529757013733,7706,8392,91.82554814108676,133,22535,0.590193033059685,13555,45.27085699018102,87709,143174,61.26042437872798,4179,29942,13.95698350143611,3809,87709,4.342769841179354,1318,13555,9.723349317594984,18587,84033,22.118691466447704,59164,3539,2618,921,5023,11952,5.981678047461294,20.20147386924481,La Libertad,SVLI,La Libertad Oeste
05,05,06,0506,138237,63144,75093,235,5208,4.512288786482335,109721,116634,94.07291184388772,18877,19498,96.81505795466202,7987,9422,84.76968796433879,3549,5208,68.14516129032258,8915,9422,94.61897686266185,4871,5208,93.52918586789555,70,12779,0.5477736912121449,7422,38.06544260949841,72061,116634,61.783870912426906,2047,19498,10.498512667965946,3033,72061,4.2089340975007286,644,7422,8.676906494206413,12492,69098,18.07867087325248,43922,3116,2264,852,4382,7124,7.09439460862438,16.219662128318383,La Libertad,SVLI,La Libertad Sur
06,06,01,0601,673319,308925,364394,1120,26094,4.292174446232851,532897,562491,94.73876026460867,93760,96625,97.03492884864166,41544,49167,84.49569833424859,16938,26094,64.91147390204645,46732,49167,95.04749120344947,24518,26094,93.96029738637235,270,66065,0.40868841292666314,37875,39.19793014230272,350244,562491,62.26659626554025,8805,96625,9.11254851228978,17550,350244,5.010792476102375,4186,37875,11.052145214521452,77326,332964,23.223531673093788,224161,13330,9661,3669,19078,40402,5.946618724934311,18.023652642520332,Cuscatlán,SVCU,Cuscatlán Norte
06,06,02,0602,496761,227433,269328,870,21483,4.049713727133082,379896,401271,94.67317598331303,77003,78460,98.14300280397654,36034,42315,85.15656386624129,13749,21483,63.99944141879626,40774,42315,96.35826539052346,20391,21483,94.91691104594331,279,56475,0.4940239043824701,33661,42.902115727759366,245850,401271,61.26782149719267,8271,78460,10.541677287789957,13981,245850,5.686800894854586,4428,33661,13.15468940316687,57168,232148,24.625669831314507,164441,11328,8046,3282,16416,38356,6.8887929409332225,23.325083160525658,Cuscatlán,SVCU,Cuscatlán Sur
06,06,03,0603,61864,28947,32917,216,2924,7.387140902872777,41653,48068,86.65432304235667,9388,9770,96.09007164790174,5209,5962,87.370010063737,1820,2924,62.24350205198358,5645,5962,94.6829922844683,2670,2924,91.31326949384405,89,7888,1.1282961460446248,4308,44.094165813715456,26525,48068,55.18224182408255,1775,9770,18.167860798362334,946,26525,3.5664467483506126,332,4308,7.706592386258125,7540,25668,29.37509739753779,20632,2203,1590,613,3142,6764,10.677588212485459,32.78402481582008,NA,NA,NA
06,06,04,0604,164756,76242,88514,303,7178,4.221231540819169,119458,130597,91.4707075966523,24595,25443,96.66705970207916,12805,15102,84.79009402728116,4696,7178,65.42212315408192,14314,15102,94.78214805985962,6715,7178,93.54973530231263,85,19880,0.4275653923541248,10977,43.14349722910034,78542,130597,60.14073830179866,3318,25443,13.040914986440278,4380,78542,5.576634157520817,1429,10977,13.01812881479457,18383,74247,24.759249531967622,54302,3330,2395,935,4731,10704,6.132370815071268,19.711981142499354,NA,NA,NA
06,06,05,0605,166671,78136,88535,407,7703,5.283655718551214,120961,131014,92.32677423786771,26700,27229,98.05721840684565,13100,15504,84.49432404540764,4742,7703,61.560431000908736,14878,15504,95.96233230134159,7239,7703,93.97637284174996,80,20585,0.38863249939276173,11332,41.61739322046348,78975,131014,60.27981742409208,3662,27229,13.448896397223548,3848,78975,4.872427983539095,1223,11332,10.792446170137664,18348,75207,24.396665204036857,49652,2281,1633,648,3302,6548,4.5939740594537986,13.187786997502618,NA,NA,NA
07,07,01,0701,99591,47175,52416,277,5081,5.451682739618185,68345,76671,89.1406137913944,16353,16659,98.16315505132361,8564,9897,86.53127210265737,3222,5081,63.412714032670735,9565,9897,96.64544811559058,4784,5081,94.1546939578823,96,13216,0.7263922518159807,6890,41.359025151569725,40291,76671,52.55050801476438,3102,16659,18.620565460111653,1945,40291,4.827380804646199,715,6890,10.377358490566039,12688,38442,33.0055668279486,31023,2183,1531,652,3156,5723,7.036714695548464,18.44760339103246,La Paz,HNLP,La Paz Centro
07,07,02,0702,145310,66980,78330,463,7303,6.339860331370669,101340,111748,90.686186777392,24190,24608,98.30136540962289,12473,14340,86.98047419804742,4458,7303,61.04340681911543,13860,14340,96.65271966527196,6806,7303,93.19457757086128,124,19213,0.6453963462239108,10341,42.02291937581274,63012,111748,56.38758635501306,4338,24608,17.628413524057216,3096,63012,4.913349838126071,1207,10341,11.671985301228121,20271,60040,33.76249167221852,44417,3076,2177,899,4426,8100,6.925276358151159,18.236260891100255,La Paz,HNLP,La Paz Este
08,08,01,0801,117548,56042,61506,383,6250,6.128,79187,89014,88.96016356977555,19896,20393,97.56288922669543,10356,12041,86.00614566896436,3771,6250,60.336,11618,12041,96.48700274063616,5845,6250,93.52,138,16131,0.8554956295331969,8920,43.74049919089884,48499,89014,54.4846878019188,3929,20393,19.266414946305105,2018,48499,4.16091053423782,783,8920,8.778026905829597,16138,46619,34.616787146871445,38061,3137,2145,992,4678,9104,8.242032526733402,23.9194976485116,San Vicente,SVSV,San Vicente Norte
